date,user,comment
18:36,Teka Hailu : አሁን  $👉 አብይ $👹 ያስቸገረዉ $👉 ጌታቸዉ $♥ ረዳ ነው $✅ ስለሆነም በተለያየ መንገድ ለመበጥበጥ ይሞክራል $🤷‍♂ በዉስጥም በዉጭም..ጌታቸዉ ደግሞ አራዳና ወጣት ነው.ሁሌ በድፕሎማስ ነዉ የምናገረዉ,፦ልክ እንደ አቶ🇪🇹ልደቱ  $✅ በማስተዋል በስሜት አይታሰብም $👍 ስለዚህ ለትግራይ🇪🇹ከሆነ ድጋፋችን ለግዜዉ ማስተዋል ይጠይቃል $🙏
18:37,Abraham Chemo,YTesaka guba yhun!!!!
18:38,Feyisa Nigussie,Enku hantuuta wayii bikii haaddha keetti
18:41,gech ali : some body made history:,
18:41,daniel debo,Full of Wisdom!!!!!!!!
18:57,Ethiopian,#report EBC
19:03,Daffy Duck,የኢትዮጰያ ትንሳኤ በልጆቻ ይረጋገጣል
19:11,ሙሴ( MUSE) Multimedia,ምክር   ቤቱ   ግን   ሙልት   ብላል   ክክክ
1707198842312667,N/A,placeholder content
19:30,Ovmcvyv Asxfgjc,ምን እያየነዉ ሂትለሩዉ አብይ
20:03,Ssnakech Girma,አቢቹን   አትችሉትም   ከሀዲ   ባንዳ   የሀገር   ክብር   የሌላችሁ   ተሳዳቢዎች   ልቦና   ይስጣችሁ   አረማሞ   ትውልድ   መቼም   አይለወጥ
20:18,gashaw teshome,Abichuu abbaa mala dafii isiin Eegaa jira
20:20,gech ali,kkkkkk eji manesate kere enda
20:44,Teka Hailu,"Convince&Confuseቁማር $👉 አሁን አማራና🇪🇹ትግራይ የሰላም $🕊 የሽምግልና የተቋቋመው..ለማፍረስ ሲባል..ማተሊያ መገኘእየተሰራ ነዉ $🤷‍♂ በትግራይ ጦርነት ግዜ.ጌታቸዉና ፃድቃን..የመሳሰሉት""አማራ ሕዝብ🇪🇹ሆይ አደናግረው እንደ ማገዱህ እንረዳለን ወንድም ነህ""ሲሉ ወድያዉ ድርድር አለ $🤔 ባይዘልቅም"
21:05,Rahael Yhdego,የዝንጀሮ መንጋ
21:11,Feyisa Nigussie,Enku Saree wayyii
21:16,Abraha Gebrekiros,who cares about the explanation of chimpanzee $face-blue-droopy-eyes
21:47,gech ali,next ke beku next debube next tigray kkkk
22:02,Hanna Tamrat,የከበረ   ሰላምታ   ለጠቅላይ   ሚንስተር   ዶ / ር   አብይ   አህመድ   $🙏🏽 🇪🇹 $🌹 $❤ $🌹 $❤ $🌹 $❤ $🌹 $❤ $🌹 $❤ $🌹 $❤
22:03,Behailu Bayu,የጀግኖች ስብስብ  $❤ $❤ $❤
22:09,Yimam Welloyew,አያችሁ ፊቱ ይለያል ደንግጧልፊቱ ጭው ብሏል
22:21,tesfaye simachew,masalefe yichalal
22:39,Feyisa Nigussie,Enku saree hadhaa ra'uu
22:41,አብቹ,ብልፅግና ውስጥ ብዙ ችግር ቢኖርም መሪዬን ግን እጅግ በጣም አከብራለሁ  $🙏 $🙏 $🙏
22:42,Kukusha Teshome,ወደገደለው ግባ አታንዛዛው
22:52,Daffy Duck,ከተማችን እንዴት እዳማረባት ምቀኞች ተቃጠሉ
22:58,elias hade,ጠቅላይ ሚስተራችን አቢይ አህመድ በርታ
23:02,7Star የአብይ ካድሬ,አብቹዬ አይችሉህም በርታ  $💪 $🙏 $❤ $🌹 $🌹 $🌹 $🌹 $🌹
1707199061379803,N/A,placeholder content
23:03,Tezera Getahun,ጠቅላያችን ስራ ብቻ!!! $hand-pink-waving $hand-pink-waving $hand-pink-waving
23:13,محمد,ااا
23:29,አብቹ,ኦሮሚያ ውስጥ ትራፊክ ሚሊሻ አገልግሎት ሰጪዎች ህዝቡን በጣም እያማረሩ ነው መፍትሄ እንፈልጋለን
23:31,Teka Hailu,በለዉ  $🤣 $🤣 $🤣 $🤣 $🤣 $🤣 $🤣 $🤣 $🤣 $❌ $❌ $❌ $❌ $❌ $🙇‍♂ $🙇‍♂ $🙇‍♂ $🙇‍♂ $👎 $👎 $👎 $👎 $👎 $👎 $👎
23:32,gech ali,aye muwachi
23:40,hezkiel taddesse,ጀግና አብቹ
24:14,Feyisa Nigussie,Sanyii unguuda'ee wayyiiEnku k
24:16,የሲሳይ አጌና አድማጭ,7Star የአብይ ካድሬ Endet nesh ?? $hand-pink-waving $hand-pink-waving $hand-pink-waving
24:27,Saba Abduraman,Abichuu I'm happy to see u $hand-purple-blue-peace $hand-purple-blue-peace $hand-purple-blue-peace
24:40,Teka Hailu,በክልሉ ያለው...  $👹 $👹 $👹 ሲኦል ላይ ነዉ  $🤷‍♂ $🤷‍♂ $🤷‍♂ $🤷‍♂ 7
24:43,alemayehu zeberga,"Be Mature,Wise&Alert!"
24:58,Feyisa Nigussie,Enku Jechuu qinixii salaamu jechuudha barii qolee wayyii
25:03,Konjit Geremew,አብቹእግዛብኤረ   ዘመንህ   ሁሉ   ይባረክ $🙏🏽 $🙏🏽 $❤ $❤ 🇪🇹🇪🇹🇪🇹🇪🇹
25:20,Rahael Yhdego,ወያኔ እየመጣልሕ ነው ኤርትራ አታስጥልሕም እናም ወደ ኤርትራ አንቶኩስም ኪኪኪኪ
25:20,Teka Hailu,$👎 $👎 $👎 $👎 $👎 $👎 $👎 $👹 $👹 $♥ $👹 $👹
25:21,Muna Muna,ዛሬም፣ጄግና፣አብቹ፣የሚል፣አለ፣ወገኖቼ፣ለእናተ፣ሰለጠገባችሁ፣ሌላወ፣የተራበ፣የማይመሥላችሁ፣ዴዴቦች፣ሀገር፣ወዴየት፣እየሄዴች፣እዴሆነ፣እሰኪ፣አርቃችሁ፣እሰቡ????
25:31,የሲሳይ አጌና አድማጭ,$😍 $😍 $😍 $😍
25:43,Hanna Tamrat,አብቹ   $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏 $👏
25:52,Hanna Tamrat,$🌹 $🌹 $🌹 $🌹 $🌹 $🌹 $🌹 $🌹 $🌹
25:53,The Hope,We love the Prime Minster Doctor Abyee. An amazing leader
